Median Sale Price (in 000's of dollars),Month,Year,City_Bothell,City_Issaquah,City_Kenmore,City_Kent,City_Kirkland,City_Mercer Island,City_Olympia,City_Redmond,City_Sammamish,City_Seattle,City_Snoqualmie,City_Tacoma,Property Type_Condo/Co-op,Property Type_Multi-Family (2-4 Unit),Property Type_Single Family Residential,Property Type_Townhouse
6.040254711277414,4,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6.556778356158042,4,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6.54965074223381,5,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.840641657373398,7,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6.658011045870748,7,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.521460917862246,3,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.384495062789089,3,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.455298485683291,7,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.8283137373023015,8,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.455321115357702,8,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.499809670330265,11,2010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.634789603169249,12,2010,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.123963979403259,3,2011,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.214935757608986,4,2011,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.3230099791384085,4,2011,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.262690188904886,5,2011,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5.41610040220442,5,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4.553876891600541,6,2011,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.836281906951478,8,2011,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.560681631015528,8,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.231108616854587,8,2011,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.062595033026967,10,2011,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.4510384535657,11,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.0106352940962555,11,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.31748811353631,1,2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.575949103146316,2,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.627621113690637,3,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.247024072160486,3,2012,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4.90527477843843,5,2012,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4.804021044733257,6,2012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.572154032177765,12,2012,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.859812404361672,12,2012,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.272999558563747,2,2013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.812184355372417,2,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.214935757608986,4,2013,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.135798437050262,5,2013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.616771097666572,6,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.648974238161206,7,2013,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.19295685089021,10,2013,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
4.976733742420574,12,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.662960480135946,1,2014,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.278114659230517,1,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.272999558563747,8,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.318119993844216,10,2014,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.700443573390687,10,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.5134287461649825,11,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.41610040220442,11,2014,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.602118820879701,2,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.991464547107982,7,2015,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.736572297479192,8,2015,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5.783825182329737,11,2015,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.384495062789089,1,2016,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.3706380281276624,8,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4.820281565605037,10,2016,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5.808142489980444,10,2016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.117993812416755,11,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.641907070938114,8,2017,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6.476972362889683,12,2017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.375278407684165,1,2018,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6.272877006546167,2,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.541263545158426,4,2018,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
6.131226489483141,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.438079308923196,5,2018,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.953243334287785,10,2018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.389071729816501,1,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6.061456918928017,2,2019,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.8805329864007,3,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.537334267018537,4,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6.063785208687608,4,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.8944028342648505,5,2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.5093883366279774,6,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6.405228458030842,6,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.75890177387728,9,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6.102558594613569,9,2019,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.389071729816501,4,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.153291594497779,4,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.308267697401205,7,2010,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.652489180268651,8,2010,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5.313205979041787,8,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.472270673671475,9,2010,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.062595033026967,11,2010,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5.19295685089021,11,2010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.3471075307174685,11,2010,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.948034989180646,12,2010,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.703782474656201,6,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.3471075307174685,6,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.3471075307174685,6,2011,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.220355825078324,7,2011,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.927253685157205,11,2011,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.342334251964811,3,2012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.402677381872279,5,2012,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.117993812416755,5,2012,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5.480638923341991,6,2012,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4.77912349311153,6,2012,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.814130531825066,7,2012,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.69035945432406,11,2012,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6.09807428216624,12,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.017279836814924,12,2012,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.634789603169249,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.68213122712422,2,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
